"Month","Value","Month_num","Tendencia","Value_detrended"
2014-06-01,94.9,24174,93.1881147223328,1.71188527766722
2014-07-01,104.4,24175,93.1478453724558,11.2521546275442
2014-08-01,106.3,24176,93.1075760225787,13.1924239774213
2014-09-01,105.6,24177,93.0673066727016,12.5326933272983
2014-10-01,109.3,24178,93.0270373228246,16.2729626771754
2014-11-01,99.8,24179,92.9867679729476,6.81323202705236
2014-12-01,87.7,24180,92.9464986230705,-5.24649862307051
2015-01-01,88.1,24181,92.9062292731935,-4.80622927319351
2015-02-01,83.7,24182,92.8659599233165,-9.16595992331649
2015-03-01,94.3,24183,92.8256905734394,1.47430942656062
2015-04-01,88.8,24184,92.7854212235624,-3.98542122356237
2015-05-01,93.1,24185,92.7451518736854,0.354848126314636
2015-06-01,92.5,24186,92.7048825238084,-0.204882523808351
2015-07-01,95.5,24187,92.6646131739312,2.83538682606877
2015-08-01,97.6,24188,92.6243438240542,4.97565617594577
2015-09-01,94.3,24189,92.5840744741772,1.71592552582278
2015-10-01,97.2,24190,92.5438051243002,4.6561948756998
2015-11-01,87.6,24191,92.5035357744231,-4.90353577442309
2015-12-01,77.2,24192,92.4632664245461,-15.2632664245461
2016-01-01,76.3,24193,92.4229970746691,-16.1229970746691
2016-02-01,75.8,24194,92.3827277247919,-16.582727724792
2016-03-01,83.7,24195,92.3424583749149,-8.64245837491494
2016-04-01,83,24196,92.3021890250379,-9.30218902503793
2016-05-01,86.3,24197,92.2619196751609,-5.96191967516093
2016-06-01,87.7,24198,92.2216503252838,-4.5216503252838
2016-07-01,89.6,24199,92.1813809754068,-2.5813809754068
2016-08-01,93,24200,92.1411116255298,0.858888374470212
2016-09-01,90.7,24201,92.1008422756527,-1.40084227565266
2016-10-01,90.2,24202,92.0605729257757,-1.86057292577566
2016-11-01,86.5,24203,92.0203035758987,-5.52030357589865
2016-12-01,77.2,24204,91.9800342260216,-14.7800342260216
2017-01-01,77.9,24205,91.9397648761445,-14.0397648761445
2017-02-01,75.9,24206,91.8994955262675,-15.9994955262675
2017-03-01,85.4,24207,91.8592261763905,-6.4592261763905
2017-04-01,79.3,24208,91.8189568265135,-12.5189568265135
2017-05-01,90.1,24209,91.7786874766364,-1.67868747663638
2017-06-01,88.4,24210,91.7384181267594,-3.33841812675936
2017-07-01,92.1,24211,91.6981487768824,0.401851223117632
2017-08-01,96.7,24212,91.6578794270052,5.04212057299476
2017-09-01,93,24213,91.6176100771282,1.38238992287177
2017-10-01,95.1,24214,91.5773407272512,3.52265927274877
2017-11-01,90.6,24215,91.5370713773742,-0.937071377374224
2017-12-01,81,24216,91.4968020274971,-10.4968020274971
2018-01-01,82.3,24217,91.4565326776201,-9.15653267762009
2018-02-01,77.3,24218,91.4162633277431,-14.1162633277431
2018-03-01,86.2,24219,91.375993977866,-5.17599397786596
2018-04-01,86.5,24220,91.335724627989,-4.83572462798895
2018-05-01,84.4,24221,91.2954552781119,-6.89545527811194
2018-06-01,91.1,24222,91.2551859282349,-0.155185928234943
2018-07-01,95.8,24223,91.2149165783578,4.58508342164218
2018-08-01,98.2,24224,91.1746472284808,7.0253527715192
2018-09-01,90.7,24225,91.1343778786038,-0.434377878603797
2018-10-01,95.8,24226,91.0941085287267,4.70589147127332
2018-11-01,89.5,24227,91.0538391788497,-1.55383917884967
2018-12-01,78,24228,91.0135698289727,-13.0135698289727
2019-01-01,80.7,24229,90.9733004790957,-10.2733004790957
2019-02-01,79.1,24230,90.9330311292185,-11.8330311292185
2019-03-01,81,24231,90.8927617793415,-9.89276177934153
2019-04-01,83.3,24232,90.8524924294645,-7.55249242946452
2019-05-01,91,24233,90.8122230795875,0.187776920412489
2019-06-01,85.8,24234,90.7719537297104,-4.97195372971039
2019-07-01,93.4,24235,90.7316843798334,2.66831562016662
2019-08-01,96.2,24236,90.6914150299564,5.50858497004363
2019-09-01,91.8,24237,90.6511456800793,1.14885431992074
2019-10-01,97,24238,90.6108763302022,6.38912366979775
2019-11-01,88,24239,90.5706069803252,-2.57060698032524
2019-12-01,76.9,24240,90.5303376304482,-13.6303376304482
